"Pollster","Dates","N.Pop","McCain","Obama","Barr","Nader","Other","Undecided","Margin","Starting.Date","End.Date","Len","Day","N","Pop","MainPollster"
"DailyKos.com (D)/Research 2000","10/4-6/08","1100 LV",41,52,"2","2","2","1","+11D","10/4/08","10/6/08",3,279,1100,"LV","DailyKos"
"Rasmussen","10/4-6/08","3000 LV",44,52,"-","-","-","-","+8D","10/4/08","10/6/08",3,279,3000,"LV","Rasmussen"
"Diageo/Hotline","10/4-6/08","909 LV",44,46,"-","-","-","9","+2D","10/4/08","10/6/08",3,279,909,"LV","Hotline"
"ARG","10/4-6/08","1200 LV",45,49,"-","-","-","6","+4D","10/4/08","10/6/08",3,279,1200,"LV",NA
"Gallup","10/4-6/08","2747 RV",42,51,"-","-","-","7","+9D","10/4/08","10/6/08",3,279,2747,"RV","Gallup"
"Economist/YouGov","10/4-6/08","1000 A",43,46,"-","-","3","6","+3D","10/4/08","10/6/08",3,279,1000,"A",NA
"Time","10/3-6/08","1053 LV",43,48,"-","-","2","7","+5D","10/3/08","10/6/08",4,278.5,1053,"LV",NA
"Ipsos/McClatchy","10/2-6/08","858 RV",40,47,"1","3","-","9","+7D","10/2/08","10/6/08",5,278,858,"RV",NA
"NBC/WSJ","10/4-5/08","658 RV",43,49,"-","-","3","5","+6D","10/4/08","10/5/08",2,278.5,658,"RV",NA
"CNN","10/3-5/08","694 LV",45,53,"-","-","-","2","+8D","10/3/08","10/5/08",3,278,694,"LV","CNN"
"CBS","10/3-5/08","616 LV",45,48,"-","-","0","9","+3D","10/3/08","10/5/08",3,278,616,"LV",NA
"Democracy Corps (D)","10/1-5/08","1000 LV",45,48,"2","3","2","1","+3D","10/1/08","10/5/08",5,277,1000,"LV",NA
"GWU (Lake/Tarrance)","9/30-10/5/08","800 LV",43,50,"-","-","-","7","+7D","9/30/08","10/5/08",6,276.5,800,"LV","GWU"
"Zogby (Internet)","10/2-3/08","2873 LV",44,48,"-","-","-","8","+4D","10/2/08","10/3/08",2,276.5,2873,"LV","Zogby"
"DailyKos.com (D)/Research 2000","10/1-3/08","1100 LV",40,52,"2","2","2","2","+12D","10/1/08","10/3/08",3,276,1100,"LV","DailyKos"
"Rasmussen","10/1-3/08","3000 LV",45,51,"-","-","-","-","+6D","10/1/08","10/3/08",3,276,3000,"LV","Rasmussen"
"Diageo/Hotline","10/1-3/08","915 LV",41,48,"-","-","-","9","+7D","10/1/08","10/3/08",3,276,915,"LV","Hotline"
"Gallup","10/1-3/08","2703 RV",42,50,"-","-","-","8","+8D","10/1/08","10/3/08",3,276,2703,"RV","Gallup"
"DailyKos.com (D)/Research 2000","9/28-30/08","1100 LV",41,51,"2","2","2","2","+10D","9/28/08","9/30/08",3,273,1100,"LV","DailyKos"
"Diageo/Hotline","9/28-30/08","902 RV",42,47,"-","-","-","9","+5D","9/28/08","9/30/08",3,273,902,"RV","Hotline"
"Rasmussen","9/28-30/08","3000 LV",45,51,"-","-","-","-","+6D","9/28/08","9/30/08",3,273,3000,"LV","Rasmussen"
"Democracy Corps (D)","9/28-30/08","1000 LV",45,49,"1","2","0","2","+4D","9/28/08","9/30/08",3,273,1000,"LV",NA
"Gallup","9/28-30/08","2746 RV",44,48,"-","-","-","8","+4D","9/28/08","9/30/08",3,273,2746,"RV","Gallup"
"Marist College","9/28-30/08","943 LV",44,49,"-","-","1","6","+5D","9/28/08","9/30/08",3,273,943,"LV",NA
"AP-Gfk","9/27-30/08","808 LV",41,48,"1","2","4","3","+7D","9/27/08","9/30/08",4,272.5,808,"LV",NA
"CBS","9/27-30/08","LV",41,50,"-","-","1","8","+9D","9/27/08","9/30/08",4,272.5,NA,"LV",NA
"ARG","9/27-29/08","1200 LV",45,49,"-","-","-","6","+4D","9/27/08","9/29/08",3,272,1200,"LV",NA
"ABC/Post","9/27-29/08","916 LV",46,50,"-","-","2","2","+4D","9/27/08","9/29/08",3,272,916,"LV",NA
"Pew","9/27-29/08","1181 LV",43,49,"-","-","-","8","+6D","9/27/08","9/29/08",3,272,1181,"LV",NA
"Economist/YouGov","9/27-29/08","1000 A",42,47,"-","-","5","6","+5D","9/27/08","9/29/08",3,272,1000,"A",NA
"Time","9/26-29/08","1133 LV",43,50,"-","-","2","5","+7D","9/26/08","9/29/08",4,271.5,1133,"LV",NA
"Ipsos/McClatchy","9/26-29/08","1007 RV",42,46,"1","2","-","9","+4D","9/26/08","9/29/08",4,271.5,1007,"RV",NA
"GWU (Lake/Tarrance)","9/22-28/08","1000 LV",48,46,"-","-","-","6","+2R","9/22/08","9/28/08",7,269,1000,"LV","GWU"
"Zogby (Internet)","9/26-27/08","2102 LV",46,47,"-","-","-","7","+1D","9/26/08","9/27/08",2,270.5,2102,"LV","Zogby"
"Rasmussen","9/25-27/08","3000 LV",44,50,"-","-","-","-","+6D","9/25/08","9/27/08",3,270,3000,"LV","Rasmussen"
"DailyKos.com (D)/Research 2000","9/25-27/08","1100 LV",43,50,"2","2","2","2","+7D","9/25/08","9/27/08",3,270,1100,"LV","DailyKos"
"Diageo/Hotline","9/25-27/08","905 RV",42,47,"-","-","-","8","+5D","9/25/08","9/27/08",3,270,905,"RV","Hotline"
"Gallup","9/25-27/08","2719 RV",42,50,"-","-","1","7","+8D","9/25/08","9/27/08",3,270,2719,"RV","Gallup"
"Zogby (Internet)","9/23-25/08","4752 LV",46,44,"-","-","-","10","+2R","9/23/08","9/25/08",3,268,4752,"LV","Zogby"
"DailyKos.com (D)/Research 2000","9/22-24/08","1100 LV",43,49,"2","2","2","2","+6D","9/22/08","9/24/08",3,267,1100,"LV","DailyKos"
"Rasmussen","9/22-24/08","3000 LV",46,49,"-","-","-","-","+3D","9/22/08","9/24/08",3,267,3000,"LV","Rasmussen"
"Diageo/Hotline","9/22-24/08","912 RV",43,47,"-","-","-","8","+4D","9/22/08","9/24/08",3,267,912,"RV","Hotline"
"Democracy Corps (D)","9/22-24/08","1007 LV",44,47,"2","2","0","2","+3D","9/22/08","9/24/08",3,267,1007,"LV",NA
"Gallup","9/22-24/08","2731 RV",46,46,"-","-","1","7","0","9/22/08","9/24/08",3,267,2731,"RV","Gallup"
"Economist/YouGov","9/22-24/08","1000 A",43,46,"-","-","3","7","+3D","9/22/08","9/24/08",3,267,1000,"A",NA
"CBS/Times","9/21-24/08","LV",43,48,"-","-","1","8","+5D","9/21/08","9/24/08",4,266.5,NA,"LV","NY Times"
"FOX","9/22-23/08","900 RV",39,45,"-","-","-","13","+6D","9/22/08","9/23/08",2,266.5,900,"RV","FOX"
"WNBC/Marist","9/22-23/08","698 LV",43,47,"-","-","2","8","+4D","9/22/08","9/23/08",2,266.5,698,"LV",NA
"ARG","9/20-22/08","1200 LV",46,48,"-","-","-","6","+2D","9/20/08","9/22/08",3,265,1200,"LV",NA
"ABC/Post","9/19-22/08","780 LV",43,52,"-","-","1","3","+9D","9/19/08","9/22/08",4,264.5,780,"LV",NA
"Times/Bloomberg","9/19-22/08","838 LV",45,49,"-","-","1","5","+4D","9/19/08","9/22/08",4,264.5,838,"LV","NY Times"
"Ipsos/McClatchy","9/18-22/08","923 RV",43,44,"-","-","4","9","+1D","9/18/08","9/22/08",5,264,923,"RV",NA
"Harris Interactive","9/15-22/08","1562 LV",46,47,"1","2","1","3","+1D","9/15/08","9/22/08",8,262.5,1562,"LV",NA
"NBC/WSJ","9/12-22/08","1085 RV",46,48,"-","-","2","4","+2D","9/12/08","9/22/08",11,261,1085,"RV",NA
"DailyKos.com (D)/Research 2000","9/19-21/08","1100 LV",43,49,"2","2","2","2","+6D","9/19/08","9/21/08",3,264,1100,"LV","DailyKos"
"Rasmussen","9/19-21/08","3000 LV",47,48,"-","-","-","-","+1D","9/19/08","9/21/08",3,264,3000,"LV","Rasmussen"
"Diageo/Hotline","9/19-21/08","915 RV",42,47,"-","-","-","9","+5D","9/19/08","9/21/08",3,264,915,"RV","Hotline"
"Gallup","9/19-21/08","2740 RV",44,48,"-","-","-","7","+4D","9/19/08","9/21/08",3,264,2740,"RV","Gallup"
"CNN","9/19-21/08","697 LV",47,51,"-","-","-","3","+4D","9/19/08","9/21/08",3,264,697,"LV","CNN"
"Franklin and Marshall/Hearst-Argyle","9/15-21/08","1320 RV",47,45,"-","-","-","-","+2R","9/15/08","9/21/08",7,262,1320,"RV",NA
"GWU (Lake/Tarrance)","9/14-21/08","800 LV",48,47,"-","-","-","6","+1R","9/14/08","9/21/08",8,261.5,800,"LV","GWU"
"Zogby (Internet)","9/19-20/08","2331 LV",43,47,"-","-","-","9","+4D","9/19/08","9/20/08",2,263.5,2331,"LV","Zogby"
"Rasmussen","9/16-18/08","3000 LV",48,48,"-","-","-","-","0","9/16/08","9/18/08",3,261,3000,"LV","Rasmussen"
"Gallup","9/16-18/08","2796 RV",44,49,"-","-","-","7","+5D","9/16/08","9/18/08",3,261,2796,"RV","Gallup"
"DailyKos.com (D)/Research 2000","9/16-18/08","1100 LV",42,49,"2","2","2","3","+7D","9/16/08","9/18/08",3,261,1100,"LV","DailyKos"
"Diageo/Hotline","9/16-18/08","915 RV",44,45,"-","-","-","7","+1D","9/16/08","9/18/08",3,261,915,"RV","Hotline"
"Big Ten","9/14-17/08","1114 RV",45,46,"-","-","1","8","+1D","9/14/08","9/17/08",4,259.5,1114,"RV",NA
"Economist/YouGov","9/15-16/08","1000 A",45,43,"-","-","3","10","+2R","9/15/08","9/16/08",2,259.5,1000,"A",NA
"CBS/Times","9/12-16/08","712 LV",44,49,"-","-","1","6","+5D","9/12/08","9/16/08",5,258,712,"LV","NY Times"
"Quinnipiac","9/11-16/08","987 LV",45,49,"-","-","1","5","+4D","9/11/08","9/16/08",6,257.5,987,"LV",NA
"ARG","9/13-15/08","1200 LV",48,45,"-","-","-","7","+3R","9/13/08","9/15/08",3,258,1200,"LV",NA
"Rasmussen","9/13-15/08","3000 LV",48,47,"-","-","-","-","+1R","9/13/08","9/15/08",3,258,3000,"LV","Rasmussen"
"Gallup","9/13-15/08","2800 RV",47,46,"-","-","-","7","+1R","9/13/08","9/15/08",3,258,2800,"RV","Gallup"
"DailyKos.com (D)/Research 2000","9/13-15/08","1100 LV",45,48,"2","2","1","3","+3D","9/13/08","9/15/08",3,258,1100,"LV","DailyKos"
"Diageo/Hotline","9/13-15/08","909 RV",42,46,"-","-","-","10","+4D","9/13/08","9/15/08",3,258,909,"RV","Hotline"
"Ipsos/McClatchy","9/11-15/08","1046 RV",45,45,"1","2","5","2","0","9/11/08","9/15/08",5,257,1046,"RV",NA
"ABC/USA Today/Columbia","9/11-14/08","1941 A",45,47,"-","-","3","4","+2D","9/11/08","9/14/08",4,256.5,1941,"A",NA
"Pew","9/9-14/08","2307 LV",46,46,"-","-","-","8","0","9/9/08","9/14/08",6,255.5,2307,"LV",NA
"Zogby/Reuters","9/11-13/08","1008 LV",45,47,"-","-","-","8","+2D","9/11/08","9/13/08",3,256,1008,"LV","Zogby"
"Rasmussen","9/10-12/08","3000 LV",49,46,"-","-","-","-","+3R","9/10/08","9/12/08",3,255,3000,"LV","Rasmussen"
"Gallup","9/10-12/08","2761 RV",47,45,"-","-","1","7","+2R","9/10/08","9/12/08",3,255,2761,"RV","Gallup"
"DailyKos.com (D)/Research 2000","9/10-12/08","1100 LV",47,47,"2","2","1","1","0","9/10/08","9/12/08",3,255,1100,"LV","DailyKos"
"Diageo/Hotline","9/10-12/08","912 RV",45,44,"-","-","-","10","+1R","9/10/08","9/12/08",3,255,912,"RV","Hotline"
"Newsweek","9/10-11/08","1038 RV",46,46,"-","-","-","8","0","9/10/08","9/11/08",2,254.5,1038,"RV",NA
"GWU (Lake/Tarrance)","9/7-11/08","1000 LV",48,44,"1","1","-","5","+4R","9/7/08","9/11/08",5,253,1000,"LV","GWU"
"Democracy Corps (D)","9/8-10/08","1000 LV",48,46,"1","2","1","1","+2R","9/8/08","9/10/08",3,253,1000,"LV",NA
"AP-Gfk","9/5-10/08","812 LV",48,44,"1","1","3","3","+4R","9/5/08","9/10/08",6,251.5,812,"LV",NA
"FOX","9/8-9/08","900 RV",45,42,"-","-","-","14","+3R","9/8/08","9/9/08",2,252.5,900,"RV","FOX"
"Economist/YouGov","9/7-9/08","1000 A",40,41,"-","-","2","14","+1D","9/7/08","9/9/08",3,252,1000,"A",NA
"Rasmussen","9/7-9/08","3000 LV",47,48,"-","-","-","-","+1D","9/7/08","9/9/08",3,252,3000,"LV","Rasmussen"
"Gallup","9/7-9/08","2714 RV",48,43,"-","-","1","8","+5R","9/7/08","9/9/08",3,252,2714,"RV","Gallup"
"Diageo/Hotline","9/7-9/08","902 RV",45,45,"-","-","-","10","0","9/7/08","9/9/08",3,252,902,"RV","Hotline"
"Ipsos/McClatchy","9/5-9/08","876 RV",46,45,"1","2","4","2","+1R","9/5/08","9/9/08",5,251,876,"RV",NA
"InsiderAdvantage","9/8/08","807 LV",46,46,"-","-","2","6","0","9/8/08","9/8/08",1,252,807,"LV",NA
"ARG","9/6-8/08","1200 LV",46,47,"-","-","-","7","+1D","9/6/08","9/8/08",3,251,1200,"LV",NA
"NBC/WSJ","9/6-8/08","860 RV",46,47,"-","-","2","5","+1D","9/6/08","9/8/08",3,251,860,"RV",NA
"Public Opinion Strategies (R)","9/6-8/08","800 LV",46,43,"1","2","-","6","+3R","9/6/08","9/8/08",3,251,800,"LV",NA
"USA Today/Gallup","9/5-7/08","823 LV",54,44,"-","-","-","2","+10R","9/5/08","9/7/08",3,250,823,"LV","Gallup"
"CNN","9/5-7/08","942 RV",48,48,"-","-","1","3","0","9/5/08","9/7/08",3,250,942,"RV","CNN"
"ABC/Post","9/5-7/08","LV",49,47,"-","-","2","3","+2R","9/5/08","9/7/08",3,250,NA,"LV",NA
"IBD/TIPP","9/2-7/08","868 RV",40,45,"-","-","-","13","+5D","9/2/08","9/7/08",6,248.5,868,"RV",NA
"Zogby (Internet)","9/5-6/08","2312 LV",50,46,"-","-","-","4","+4R","9/5/08","9/6/08",2,249.5,2312,"LV","Zogby"
"Rasmussen","9/4-6/08","3000 LV",48,48,"-","-","-","-","0","9/4/08","9/6/08",3,249,3000,"LV","Rasmussen"
"Gallup","9/4-6/08","2765 RV",48,45,"-","-","-","6","+3R","9/4/08","9/6/08",3,249,2765,"RV","Gallup"
"Diageo/Hotline","9/2-4/08","916 RV",40,46,"-","-","-","10","+6D","9/2/08","9/4/08",3,247,916,"RV","Hotline"
"Democracy Corps (D)","9/1-3/08","1000 LV",44,49,"2","1","2","0","+5D","9/1/08","9/3/08",3,246,1000,"LV",NA
"CBS","9/1-3/08","734 RV",42,42,"-","-","-","13","0","9/1/08","9/3/08",3,246,734,"RV",NA
"Economist/YouGov","9/1-3/08","1000 A",39,42,"-","-","3","13","+3D","9/1/08","9/3/08",3,246,1000,"A",NA
"Rasmussen","9/1-3/08","3000 LV",45,50,"-","-","-","-","+5D","9/1/08","9/3/08",3,246,3000,"LV","Rasmussen"
"Gallup","9/1-3/08","2771 RV",42,49,"-","-","1","9","+7D","9/1/08","9/3/08",3,246,2771,"RV","Gallup"
"ARG","8/30-9/1/08","1200 LV",43,49,"-","-","-","8","+6D","8/30/08","9/1/08",3,244,1200,"LV",NA
"CNN","8/29-31/08","927 RV",48,49,"-","-","0","2","+1D","8/29/08","8/31/08",3,243,927,"RV","CNN"
"CBS","8/29-31/08","781 RV",40,48,"-","-","1","11","+8D","8/29/08","8/31/08",3,243,781,"RV",NA
"Diageo/Hotline","8/29-31/08","805 RV",39,48,"-","-","-","8","+9D","8/29/08","8/31/08",3,243,805,"RV","Hotline"
"Zogby (Internet)","8/29-30/08","2020 LV",47,45,"-","-","-","8","+2R","8/29/08","8/30/08",2,242.5,2020,"LV","Zogby"
"Rasmussen","8/28-30/08","3000 LV",46,49,"-","-","-","-","+3D","8/28/08","8/30/08",3,242,3000,"LV","Rasmussen"
"Gallup","8/27-29/08","2709 RV",41,49,"-","-","1","9","+8D","8/27/08","8/29/08",3,241,2709,"RV","Gallup"
"Rasmussen","8/25-27/08","3000 LV",47,47,"-","-","-","-","0","8/25/08","8/27/08",3,239,3000,"LV","Rasmussen"
"Economist/YouGov","8/25-26/08","1000 A",36,41,"-","-","2","18","+5D","8/25/08","8/26/08",2,238.5,1000,"A",NA
"Gallup","8/24-26/08","2724 RV",44,45,"-","-","1","9","+1D","8/24/08","8/26/08",3,238,2724,"RV","Gallup"
"CNN","8/23-24/08","909 RV",47,47,"-","-","1","5","0","8/23/08","8/24/08",2,236.5,909,"RV","CNN"
"Zogby (Internet)","8/23-24/08","2248 LV",44,46,"-","-","-","-","+2D","8/23/08","8/24/08",2,236.5,2248,"LV","Zogby"
"Rasmussen","8/22-24/08","3000 LV",45,48,"-","-","-","-","+3D","8/22/08","8/24/08",3,236,3000,"LV","Rasmussen"
"Diageo/Hotline","8/18-24/08","1022 RV",40,44,"-","-","-","16","+4D","8/18/08","8/24/08",7,234,1022,"RV","Hotline"
"Gallup","8/21-23/08","2625 RV",45,45,"-","-","1","9","0","8/21/08","8/23/08",3,235,2625,"RV","Gallup"
"USA Today/Gallup","8/21-23/08","LV",45,48,"-","-","-","-","+3D","8/21/08","8/23/08",3,235,NA,"LV","Gallup"
"ABC/Post","8/19-22/08","LV",45,49,"-","-","3","4","+4D","8/19/08","8/22/08",4,233.5,NA,"LV",NA
"Rasmussen","8/19-21/08","3000 LV",46,47,"-","-","-","-","+1D","8/19/08","8/21/08",3,233,3000,"LV","Rasmussen"
"FOX","8/19-20/08","900 RV",39,42,"-","-","-","19","+3D","8/19/08","8/20/08",2,232.5,900,"RV","FOX"
"Economist/YouGov","8/18-20/08","1000 A",38,39,"-","-","4","16","+1D","8/18/08","8/20/08",3,232,1000,"A",NA
"Gallup","8/18-20/08","2680 RV",44,45,"-","-","2","9","+1D","8/18/08","8/20/08",3,232,2680,"RV","Gallup"
"CBS/Times","8/15-19/08","869 RV",42,45,"-","-","1","12","+3D","8/15/08","8/19/08",5,230,869,"RV","NY Times"
"Rasmussen","8/16-18/08","3000 LV",45,47,"-","-","-","-","+2D","8/16/08","8/18/08",3,230,3000,"LV","Rasmussen"
"Times/Bloomberg","8/15-18/08","1248 RV",43,45,"-","-","2","10","+2D","8/15/08","8/18/08",4,229.5,1248,"RV","NY Times"
"NBC/WSJ","8/15-18/08","1005 RV",42,45,"-","-","4","9","+3D","8/15/08","8/18/08",4,229.5,1005,"RV",NA
"Gallup","8/15-17/08","2660 RV",43,46,"-","-","1","10","+3D","8/15/08","8/17/08",3,229,2660,"RV","Gallup"
"Quinnipiac","8/12-17/08","1547 LV",42,47,"-","-","2","9","+5D","8/12/08","8/17/08",6,227.5,1547,"LV",NA
"Zogby/Reuters","8/14-16/08","1089 LV",46,41,"-","-","-","13","+5R","8/14/08","8/16/08",3,228,1089,"LV","Zogby"
