"recipient_name","number_of_jobs","pop_latitude","pop_longitude","pop_state_cd"
"EXECUTIVE OFFICE OF THE STATE OF IOWA",5730.5,41.59244579,-93.5976763,"IA"
"EXECUTIVE OFFICE OF THE STATE OF WASHINGTON",5728.54,47.037403,-122.895772,"WA"
"EDUCATION CONN STATE DEPT",5728.36,41.7618196,-72.68030806,"CT"
"EDUCATION, ILLINOIS STATE BOARD OF",5641.01,39.80185268,-89.65477702,"IL"
"KANSAS, STATE OF",5090.38,39.04671045,-95.67864979,"KS"
"EXECUTIVE OFFICE OF THE STATE OF COLORADO",4924.44,39.73998137,-104.98485502,"CO"
"DEPARTMENT OF EDUCATION OHIO",4439.18,39.96144884,-83.00285221,"OH"
"EDUCATION, GEORGIA DEPARTMENT OF",4319.25,33.74945956,-84.38547996,"GA"
"TREASURY, LOUISIANA DEPARTMENT OF THE",4121.97,30.45871512,-91.18824467,"LA"
"EXECUTIVE OFFICE OF THE STATE OF IDAHO",3905.45,43.61780443,-116.19993097,"ID"
"EXECUTIVE OFFICE OF THE STATE OF MISSISSIPPI",3888.76,32.29414,-90.183309,"MS"
"DEPARTMENT OF EDUCATION MICHIGAN",3562.63,42.73268897,-84.56021659,"MI"
"STATE OF OKLAHOMA, THE",3480.9,35.4915257,-97.50150357,"OK"
"EXECUTIVE OFFICE OF THE STATE OF UTAH",3430.36,40.777574,-111.887792,"UT"
"SC GOVERNOR'S OFFICE",3151.84,34.0033,-81.03210699,"SC"
"ADMINISTRATION, NEVADA DEPARTMENT OF",3060.59,39.16455631,-119.76604662,"NV"
"OREGON, STATE OF",2987.5,44.939034,-123.030012,"OR"
"DEPARTMENT OF ELEMENTARY AND SECONDARY EDUCATION",2846.28,42.42700572,-71.06927044,"MA"
"ELEMENTARY AND SECONDARY EDUCATION, MISSOURI DEPARTMENT OF",2687.5,38.57795398,-92.17126561,"MO"
"WORKFORCE INNOVATION, FLORIDA AGENCY FOR",2446.64,30.436594,-84.281921,"FL"
"EDUCATION, TENNESSEE DEPARTMENT OF",2423.01,36.16154699,-86.783886,"TN"
"EDUCATION, PENNSYLVANIA DEPT OF",2381.37,40.26143569,-76.87953039,"PA"
"EDUCATION, INDIANA DEPARTMENT OF",2293,39.76993355,-86.16070915,"IN"
"EDUCATION, NEW JERSEY DEPARTMENT OF",2251.6,40.20456232,-74.76199389,"NJ"
"TRANSPORTATION, TEXAS DEPARTMENT OF",2159.77,30.27225223,-97.73986244,"TX"
"EMPLOYMENT DEVELOPMENT, CALIFORNIA DEPARTMENT OF",2159.13,38.57751858,-121.49757317,"CA"
"PUBLIC INSTRUCTION, WASHINGTON STATE SUPERINTENDENT OF",2117.04,47.04291735,-122.89955634,"WA"
"EXECUTIVE OFFICE OF THE STATE OF NEBRASKA",2073.61,40.81084051,-96.70045302,"NE"
"KENTUCKY DEPARTMENT OF EDUCATION",2065.98,38.20279899,-84.877367,"KY"
"KANSAS DEPT OF EDUCATION",2009.45,39.04587922,-95.67543409,"KS"
"TRANSPORTATION, FLORIDA DEPARTMENT OF",2003.84,25.78623899,-80.32003299,"FL"
"DEPT OF EDUCATION ARIZONA",1953.01,33.44702199,-112.092442,"AZ"
"SECRETARY OF STATE, NEW MEXICO",1936.88,35.68441532,-105.94039974,"NM"
"CRIMINAL JUSTICE SERVICES, VIRGINIA DEPARTMENT OF",1834.89,37.53781664,-77.43427963,"VA"
"MASSACHUSETTS, COMMONWEALTH OF",1788.53,42.35816004,-71.06369577,"MA"
"DEVELOPMENT, OHIO DEPARTMENT OF COMMUNICATIONS",1724.55,39.96056751,-83.00052297,"OH"
"DEPARTMENT OF EDUCATION, SOUTH CAROLINA",1677,34.0012609,-81.02889966,"SC"
"EDUCATION, VIRGINIA DEPARTMENT OF",1535.6,37.53819075,-77.43489115,"VA"
"EDUCATION, OKLAHOMA STATE DEPARTMENT OF",1532.18,35.49526646,-97.50127492,"OK"
"TRANSPORTATION, CALIFORNIA DEPARTMENT OF",1515.76,33.67043222,-117.84138485,"CA"
"JOB & FAMILY SERVICES, OHIO DEPARTMENT",1471.52,39.98595982,-82.89827024,"OH"
"NORTH DAKOTA, STATE OF",1439.33,46.81679225,-100.78279146,"ND"
"OREGON DEPARTMENT OF EDUCATION",1414.93,44.93948707,-123.02808889,"OR"
"EDUCATION, COLORADO BOARD OF",1413,39.74015251,-104.98485228,"CO"
"EDUCATION, IOWA DEPARTMENT OF",1368.89,41.592856,-93.600058,"IA"
"COMMERCE AND ECONOMIC OPPORTUNITY, ILLINOIS DEPARTMENT OF",1316.88,39.80057871,-89.64756668,"IL"
"TEACH FOR AMERICA, INC.",1280.45,40.75405732,-73.9933362,"NY"
"NEW YORK, CITY OF",1224.52,40.712901,-74.00546499,"NY"
"EXECUTIVE OFFICE OF THE STATE OF HAWAII",1219.48,21.30764,-157.856544,"HI"
"METROPOLITAN ATLANTA RAPID TRANSIT AUTHORITY",1168.86,33.82199099,-84.36746299,"GA"
"PUBLIC INSTRUCTION, WISCONSIN DEPT OF",1168.66,43.07514123,-89.3807822,"WI"
"COMMUNITY SERVICES & DEVELOPMENT, CALIFORNIA DEPARTMENT OF",1140.63,38.61122474,-121.51577853,"CA"
"STATE OF MARYLAND",1133.41,38.97945163,-76.49017986,"MD"
"EDUCATION, ALABAMA DEPT OF",1128.94,32.39518299,-86.296907,"AL"
"LIEUTENANT GOVERNOR, MONTANA",1115.79,46.586497,-112.020151,"MT"
"SAVANNAH RIVER NUCLEAR SOLUTIONS, LLC",1087.84,33.35780812,-81.48707191,"SC"
"SOLYNDRA, INC.",1066,37.47031699,-121.92907799,"CA"
"EDUCATION, MARYLAND DEPARTMENT OF",1049.62,39.28957435,-76.61839426,"MD"
"IDAHO STATE BOARD OF EDUCATION",1042.81,43.617231,-116.200235,"ID"
"CH2M HILL PLATEAU REMEDIATION COMPANY",1028,46.32091699,-119.27966395,"WA"
"ORANGE COUNTY TRANSPORTATION AUTHORITY SCHOLARSHIP FOUNDATION, INC.",967.29,33.77958522,-117.86747953,"CA"
"SOUTH DAKOTA, STATE OF",967.21,44.36613238,-100.34642581,"SD"
"LABOR, NEW YORK DEPARTMENT OF",956.31,42.6521,-73.757896,"NY"
"BOYS & GIRLS CLUBS OF AMERICA",921.93,33.78941974,-84.38386011,"GA"
"NEW JERSEY TRANSIT CORPORATION, THE",918.92,40.73103699,-74.160328,"NJ"
"COMMUNITY AND ECONOMIC DEVELOPMENT, PENNSYLVANIA DEPARTMENT OF",875.15,40.26547348,-76.88470698,"PA"
"EDUCATION, MINNESOTA, DEPARTMENT OF",853.71,45.00928044,-93.1635184,"MN"
"TRANSPORTATION, NORTH CAROLINA DEPARTMENT OF",853.11,35.114234,-78.930851,"NC"
"ADMINISTRATION, LOUISIANA DIVISION OF",845.7,30.45871512,-91.18824467,"LA"
"NATIONAL RAILROAD PASSENGER CORPORATION",835.67,38.89701996,-77.0067587,"DC"
"EXECUTIVE OFFICE OF THE STATE OF ARKANSAS",820.82,34.74417599,-92.28994397,"AR"
"TRANSPORTATION, ARIZONA DEPT OF",812.5,33.44546499,-112.095816,"AZ"
"TEXAS WORKFORCE COMMISSION",812.28,30.276653,-97.73885799,"TX"
"HOUSING & COMMUNITY AFFAIRS, TEXAS DEPARTMENT OF",804.62,30.27226122,-97.73950912,"TX"
"TRANSPORTATION, GEORGIA DEPARTMENT OF",801.77,31.760904,-84.790682,"GA"
"PR DEPARTMENT OF LABOR AND HUMAN RESOURCES",790.26,18.427338,-66.06977699,"PR"
"NC DEPT OF COMMERCE",770.03,35.78385272,-78.63796248,"NC"
"ECONOMIC AND COMMUNITY AFFAIRS, ALABAMA DEPARTMENT OF",769.81,32.37526536,-86.30360727,"AL"
"HOUSING AND COMMUNITY RENEWAL, NEW YORK STATE DIVISION OF",747.56,42.646962,-73.751654,"NY"
"HUMAN SERVICES, MICHIGAN DEPARTMENT OF",746.15,42.73215154,-84.55064703,"MI"
"ASSISTIVE & REHABILITATIVE SERVICES, TEXAS DEPARTMENT OF",734.1,30.31747014,-97.73335135,"TX"
"METROPOLITAN TRANSPORTATION AUTHORITY",721.5,40.75437208,-73.97772397,"NY"
"TRANSPORTATION, TENNESSEE DEPARTMENT OF",712.28,35.459296,-86.780683,"TN"
"ENVIRONMENTAL QUALITY, MICHIGAN DEPARTMENT OF",712.16,42.73262831,-84.55888928,"MI"
"GEORGIA DEPARTMENT OF LABOR",711.63,33.75969126,-84.38347527,"GA"
"SAN FRANCISCO, CITY & COUNTY OF",710.77,37.775183,-122.419187,"CA"
"CH2M WG IDAHO LLC",710,43.497249,-112.06326,"ID"
"ENVIRONMENTAL PROTECTION, FLORIDA DEPARTMENT OF",689.16,30.436596,-84.281347,"FL"
"WEST VIRGINIA DEPARTMENT OF EDUCATION",672.01,38.33550884,-81.61297426,"WV"
"DEPARTMENT OF COMMERCE",669.75,47.037403,-122.895772,"WA"
"EXECUTIVE OFFICE OF THE STATE OF NEW HAMPSHIRE",639.41,43.20667,-71.53782999,"NH"
"ENVIRONMENTAL FACILITIES AUTHORITY, GEORGIA",633.3,33.76074936,-84.3864052,"GA"
"HOUSING AND COMMUNITY DEVELOPMENT, MASSACHUSETTS DEPT OF",633.07,42.35816004,-71.06369577,"MA"
"DISTRICT OF COLUMBIA, GOVERNMENT OF",620.7,38.90054563,-77.00702728,"DC"
"TRANSPORTATION, PENNSYLVANIA DEPARTMENT OF",611.3,40.708065,-80.268582,"PA"
"EDUCATION, ARKANSAS DEPARTMENT OF",607.83,34.7466761,-92.28904465,"AR"
"ADMINISTRATION, WISCONSIN DEPARTMENT OF",606.74,43.07337232,-89.38007307,"WI"
"EDUCATION, NEBRASKA DEPARTMENT OF",599.28,40.81084051,-96.70045302,"NE"
"SOCIAL SERVICES, MISSOURI DEPARTMENT OF",535.98,39.0093456,-94.49469487,"MO"
"TRANSPORTATION , MISSISSIPPI DEPARTMENT OF",524.53,30.546247,-89.656056,"MS"
"STATE, NEW YORK DEPARTMENT OF",523.36,42.65502624,-73.75906282,"NY"
"TRANSPORTATION, OKLAHOMA DEPARTMENT OF",523.08,34.741349,-97.223008,"OK"
"DEPARTMENT OF HEALTH & HUMAN SERVICES",520,34.019203,-84.355839,"GA"
"PUBLIC INSTRUCTION, MONTANA OFFICE OF",517.93,46.58971408,-112.01987086,"MT"
"PUBLIC HEALTH, CALIFORNIA DEPARTMENT OF",515.27,38.57457027,-121.48612109,"CA"
"ENERGY, LABOR AND ECONOMIC GROWTH, MICHIGAN DEPARTMENT OF",512.83,42.73468338,-84.5602321,"MI"
"OKLAHOMA DEPARTMENT OF COMMERCE",512.1,35.47647592,-97.50481564,"OK"
"STATE OF OHIO OFFICE OF BUDGET AND MANAGEMENT STATE ACCOUNTING",511.25,39.95874232,-83.00108667,"OH"
"DEPARTMENT OF COMMERCE MINNESOTA",510.56,44.94883614,-93.09277745,"MN"
"DEPARTMENT OF EDUCATION",506.29,44.36979387,-100.34147447,"SD"
"OHIO OFFICE OF CRIMINAL JUSTICE SERVICES",486.07,39.95602395,-83.05308365,"OH"
"ILLINOIS ENVIRONMENTAL PROTECTION AGENCY",481.67,39.81639063,-89.64148639,"IL"
"NATURAL RESOURCES, MISSOURI DEPARTMENT OF",473.2,38.56793999,-92.15204899,"MO"
"HEALTH & HUMAN SERVICES, NORTH CAROLINA DEPARTMENT OF",470.73,35.79292699,-78.662598,"NC"
"STATE OF MINNESOTA DEPARTMENT OF EMPLOYMENT & ECONOMIC DEVELOPMENT, THE",469.6,44.94674159,-93.09105104,"MN"
"DELAWARE, STATE OF",466.61,39.15797656,-75.52192285,"DE"
"TRANSPORTATION, WASHINGTON STATE DEPARTMENT OF",449.08,47.86987599,-122.218564,"WA"
"HOUSING & COMMUNITY DEVELOPMENT, MD DEPT OF",445.84,39.02661521,-76.60573821,"MD"
"UNIVERSITY OF WASHINGTON",445.18,47.65215199,-122.310872,"WA"
"LABOR AND WORKFORCE DEVELOPMENT, NEW JERSEY DEPARTMENT OF",445.07,40.219894,-74.761712,"NJ"
"MISSISSIPPI STATE DEPARTMENT OF EDUCATION",438.97,32.30270576,-90.1835618,"MS"
"LABOR & INDUSTRY, PENNSYLVANIA DEPARTMENT OF",437.86,40.26901146,-76.88351318,"PA"
"TRUSTEES OF THE UNVERSITY OF PENNSYLVANIA",435.05,39.952908,-75.19279599,"PA"
"EDUCATION, NEVADA DEPARTMENT OF",429.9,39.16131347,-119.76207802,"NV"
"THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK INC",429.32,40.80909843,-73.95943673,"NY"
"HUMAN SERVICES, ARKANSAS DEPARTMENT OF",427.59,34.74204459,-92.27178666,"AR"
"MISSOURI DIVISION WORKFORCE DEVELOPMENT",424.23,38.57000817,-92.17291167,"MO"
"TRANSPORTATION, ALABAMA DEPT OF",420.82,32.41454422,-86.26843615,"AL"
"EXECUTIVE OFFICE OF THE STATE OF CALIFORNIA",409.87,38.56696843,-121.47810744,"CA"
"DISTRICT OF COLUMBIA GOVERNMENT",409.2,38.90018451,-76.99820507,"DC"
"STATE, LOUISIANA DEPARTMENT OF",409.08,30.40355324,-91.12658998,"LA"
"INDIANA HOUSING AND COMMUNITY DEVELOPMENT AUTHORITY",406.72,39.766614,-86.15812199,"IN"
"UNIVERSITY OF WISCONSIN SYSTEM",395.66,43.06830834,-89.40082376,"WI"
"UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL",395.24,35.91115999,-79.06106699,"NC"
"FAMILY AND SOCIAL SERVICES ADMINISTRATION, INDIANA",394.36,39.76726942,-86.16543989,"IN"
"APM, LLC",389,39.818239,-84.03382499,"OH"
"COMMUNITY AFFAIRS, NEW JERSEY DEPT OF",387.76,40.217925,-74.76409699,"NJ"
"ENVIRONMENT AND NATURAL RESOURCES, NORTH CAROLINA DEPARTMENT OF",383.44,35.816484,-78.60076099,"NC"
"SLONE ASSOCIATES, INC.",383.05,31.87135799,-81.621622,"GA"
"LELAND STANFORD JUNIOR UNIVERSITY, THE",381.68,37.42100972,-122.20584859,"CA"
"WHITE, COUNTY OF",375,40.74993699,-86.761986,"IN"
"EXECUTIVE OFFICE OF THE COMMONWEALTH OF KENTUCKY",373.25,37.56975099,-83.399351,"KY"
"UNIVERSITY OF PITTSBURGH THE",359.51,40.44410599,-79.956097,"PA"
"CHFS-DEPARTMENT FOR COMMUNITY BASED SERVICES",356.92,38.19821532,-84.8617718,"KY"
"KING, COUNTY OF",355.5,47.59916612,-122.33154744,"WA"
"TRANSPORTATION, COLORADO DEPARTMENT OF",354.57,38.910943,-104.77008,"CO"
"TRANSPORTATION SC DEPT",354.37,33.99680548,-81.03540279,"SC"
"UNIVERSITY OF CALIFORNIA, LOS ANGELES",352.78,34.068447,-118.444867,"CA"
"TRANSPORTATION AND DEVELOPMENT, LOUISIANA DEPARTMENT OF",348.08,30.21683299,-93.23234799,"LA"
"DUKE UNIVERSITY",348.07,36.0079033,-78.9265672,"NC"
"ARIZONA DEPARTMENT OF ECONOMIC SECURITY",346.53,33.44697999,-112.09703799,"AZ"
"REVEAL IMAGING TECHNOLOGIES, INC.",345,42.50962779,-71.24397109,"MA"
"REGENTS OF THE UNIVERSITY OF MICHIGAN",342.45,42.27382799,-83.73576399,"MI"
"NEW MEXICO EDUCATION, DEPARTMENT OF",341.67,35.68441532,-105.94039974,"NM"
"COMMUNITY AFFAIRS, FLORIDA DEPARTMENT OF",335.92,30.438116,-84.28440499,"FL"
"JOHNS HOPKINS UNIVERSITY, THE",331.77,39.33066876,-76.61804122,"MD"
"WATER DEVELOPMENT BOARD, TEXAS",330.43,30.27874507,-97.73884853,"TX"
"HEALTH AND WELFARE, IDAHO DEPARTMENT OF",329.74,43.61686914,-116.19629771,"ID"
"WATER RESOURCES CONTROL BOARD, CA",327.7,38.58141867,-121.49292958,"CA"
"WASTREN ADVANTAGE, INC.",327.3,35.855704,-84.326727,"TN"
"ENERGX TN, LLC",318.2,35.855704,-84.326727,"TN"
"CORNELL UNIVERSITY, INC",312.92,42.44793726,-76.4883792,"NY"
"FINANCE AND ADMINISTRATION, TENNESSEE DEPARTMENT OF",309.95,36.16154699,-86.783886,"TN"
"CHICAGO, CITY OF",308.96,41.883227,-87.628689,"IL"
"CALIFORNIA INSTITUTE OF TECHNOLOGY",308.17,34.19971317,-118.17530931,"CA"
"HARVARD COLLEGE, PRESIDENT & FELLOWS OF",307.74,42.337008,-71.103163,"MA"
"THE WASHINGTON UNIVERSITY",303.89,38.634609,-90.263229,"MO"
"PUBLIC HEALTH, MASSACHUSETTS DEPT OF",303.86,42.35797263,-71.05784712,"MA"
"ALAMEDA-CONTRA COSTA TRANSIT DISTRICT",303.72,37.805497,-122.26890899,"CA"
"EMPLOYMENT SECURITY, WASHINGTON STATE DEPARTMENT OF",302.69,47.037403,-122.895772,"WA"
"HUMAN RIGHTS, IOWA DEPARTMENT OF",301.35,41.592856,-93.600058,"IA"
"NEW YORK UNIVERSITY (INC)",300.93,40.72990699,-73.99728,"NY"
"TRANSPORTATION, NEW JERSEY DEPT OF",300.13,39.889953,-75.1156,"NJ"
"BABCOCK & WILCOX TECHNICAL SERVICES Y-12, LLC",294,35.992458,-84.22369899,"TN"
"HUMAN SERVICES, MISSISSIPPI DEPARTMENT OF",290.7,32.307613,-90.178741,"MS"
"UNIVERSITY OF MARYLAND",289.82,39.287206,-76.627815,"MD"
"UNIVERSITY OF ILLINOIS",289.39,41.87146704,-87.6677797,"IL"
"CORRECTIONAL SERVICES, NEW YORK DEPARTMENT OF",287.18,42.71360808,-73.7759341,"NY"
"EMPLOYMENT AND TRAINING, MASSACHUSETTS DEPARTMENT OF",286.87,42.35816004,-71.06369577,"MA"
"MASSACHUSETTS BAY TRANSPORTATION AUTHORITY",286.83,42.35112299,-71.070332,"MA"
"HIGHWAY AND TRANSPORTATION, ARKANSAS DEPARTMENT OF",286,34.783251,-92.41528299,"AR"
"SOUTH CAROLINA DEPARTMENT OF COMMERCE",285.97,34.001399,-81.033607,"SC"
"HABITAT FOR HUMANITY INTERNATIONAL",278.48,33.76190049,-84.38829377,"GA"
"PUBLIC INSTRUCTION, NORTH DAKOTA DEPARTMENT OF",277.58,46.816613,-100.782721,"ND"
"SAVANNAH RIVER REMEDIATION LLC",276,33.35780812,-81.48707191,"SC"
"HUMAN SERVICES, TENNESSEE DEPARTMENT OF",275.9,36.16154699,-86.783886,"TN"
"HOUSING & COMMUNITY SERVICES, OREGON DEPARTMENT OF",274.85,44.94488276,-123.02724004,"OR"
"UNIVERSITY OF CALIFORNIA, SAN DIEGO",274.22,32.87529487,-117.23961019,"CA"
"HUMAN SERVICES, ILLINOIS DEPARTMENT OF",272.52,39.787024,-89.65438799,"IL"
"YALE UNIVERSITY",272,41.309839,-72.92811199,"CT"
"TRANSPORTATION, NEW MEXICO DEPARTMENT OF",270.06,32.17579,-104.377122,"NM"
"TRANSPORTATION, OREGON DEPARTMENT OF",268.97,44.27468999,-121.25754199,"OR"
"TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK",268.92,40.841334,-73.94040399,"NY"
"TRANSPORTATION, CONNECTICUT DEPARTMENT OF",267.37,41.67203059,-72.71634904,"CT"
"TRANSPORTATION, MARYLAND DEPARTMENT OF",266.05,39.34993707,-76.70185068,"MD"
"REGENTS OF THE UNIVERSITY OF COLORADO, THE",262.83,40.01357987,-105.25263101,"CO"
"TRANSPORTATION, MISSOURI DEPARTMENT OF",262.38,37.20513,-93.23619099,"MO"
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",261.96,37.7676712,-122.41550297,"CA"
"TRANSPORTATION, OHIO DEPARTMENT OF",261.8,39.46174299,-82.19432999,"OH"
"KENTUCKY HOUSING CORPORATION",261.31,38.17748038,-84.90145752,"KY"
"OLD DOMINION TRANSIT MANAGEMENT CO",260,37.50528424,-77.47882464,"VA"
"ILLINOIS CRIMINAL JUSTICE INFORMATION AUTHORITY",259.01,41.87938599,-87.63528,"IL"
"DEPARTMENT OF HEALTH AND HUMAN SERVICES",258.96,39.19508811,-119.7253732,"NV"
"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE",258.34,37.868941,-122.26610499,"CA"
"COUNTY OF, PALM BEACH",257.83,26.71565843,-80.05268025,"FL"
"VIRGINIA COMMUNITY COLLEGE SYSTEM OFFICE",257.68,37.53615973,-77.43112655,"VA"
"LEGISLATIVE OFFICE OF THE STATE OF WEST VIRGINIA",255.19,38.34752264,-81.63590049,"WV"
"TRANSPORTATION, MICHIGAN DEPARTMENT OF",251.93,42.73466077,-84.55737076,"MI"
"1CI, INC.",251,38.798508,-76.891062,"MD"
"WORKFORCE COMISSION, LOUISIANA",250.64,30.45752207,-91.164894,"LA"
"FINANCIAL MANAGEMENT, WASHINGTON STATE OFFICE OF",245.6,47.03861859,-122.90291081,"WA"
"HOUSING AND COMMUNITY DEVELOPMENT, VIRGINIA DEPT OF",245.42,37.53984134,-77.43896927,"VA"
"EMORY UNIVERSITY",244.69,33.80004074,-84.32422607,"GA"
"CATHOLIC NETWORK OF VOLUNTEER SERVICE",242,38.97492855,-77.01397904,"MD"
"TRANSPORTATION, KANSAS DEPARTMENT OF",241.36,38.97802499,-94.711498,"KS"
"THE VANDERBILT UNIVERSITY",238.53,36.14066099,-86.817675,"TN"
"UNIVERSITY OF CALIFORNIA, DAVIS",236.84,38.53988383,-121.7521105,"CA"
"BOOZ ALLEN HAMILTON INC.",236.31,38.92262398,-77.23105739,"VA"
"CALIFORNIA TAX CREDIT ALLOCATION COMMITTEE",233.28,38.57739501,-121.49594376,"CA"
"KEY LARGO WASTE WATER TREATMENT DISTRICT",230,25.086383,-80.449836,"FL"
"EDUCATION & EARLY DEVELOPMENT, ALASKA DEPARTMENT OF",228.68,58.299712,-134.41634,"AK"
"UNIVERSITY OF FLORIDA",227.65,29.637728,-82.356319,"FL"
"PENNVEST",225.44,40.26034643,-76.87991752,"PA"
"PUBLIC SAFETY, MASSACHUSETTS EXECUTIVE OFFICE OF",225.35,42.35816004,-71.06369577,"MA"
"AVO GENERAL SERVICES, LLC",225,38.96266944,-92.31219393,"MO"
"SANTA CLARA VALLEY TRANSPORTATION AUTHORITY",225,37.40230699,-121.93984099,"CA"
"SOCIAL SERVICES, CONNECTICUT DEPARTMENT OF",224.87,41.7639635,-72.69388646,"CT"
"REGENTS OF THE UNIVERSITY OF MINNESOTA",222.08,47.81424299,-92.231757,"MN"
"VANGUARD CONSTRUCTION, INC.",221,34.921836,-117.89202999,"CA"
"SOUTHEASTERN PENNSYLVANIA TRANSPORTATION AUTHORITY - SEPTA",218.73,39.95195999,-75.160462,"PA"
"SOCIAL SERVICES, VIRGINIA DEPARTMENT OF",218.64,37.53834255,-77.437182,"VA"
"STRONGHOLD ENGINEERING INCORPORATED",218.59,34.15251032,-118.29175418,"CA"
"MAINE, STATE OF",217.34,44.306882,-69.782184,"ME"
"CENTRAL PUGET SOUND REGIONAL TRANSIT AUTHORITY",216.41,47.59919286,-122.32892497,"WA"
"DEPARTMENT OF HEALTH OHIO",216.33,39.96754625,-83.00095464,"OH"
"NORTHWESTERN UNIVERSITY",215.21,42.04946214,-87.67806665,"IL"
"TRANSPORTATION, MONTANA DEPARTMENT OF",214.42,48.185517,-114.30937499,"MT"
"LABOR & EMPLOYMENT, COLORADO DEPARTMENT OF",214.3,39.74566,-104.99041,"CO"
"GRUNLEY CONSTRUCTION CO., INC.",213.98,38.89355746,-77.01678734,"DC"
"HUMAN SERVICES, MINNESOTA DEPARTMENT OF",210.64,44.946756,-93.087242,"MN"
"HEALTH AND HUMAN SERVICES, MAINE DEPARTMENT OF",210.43,44.306882,-69.782184,"ME"
"SUNDT CONSTRUCTION, INC.",208,31.8058526,-106.43767794,"TX"
"BALL AEROSPACE & TECHNOLOGIES CORP.",204.85,40.01762949,-105.23331936,"CO"
"BRIGHAM AND WOMEN'S HOSPITAL, INC., THE",203.63,42.33584907,-71.1074257,"MA"
"THE STATE TREASURER VERMONT OFFICE OF",203.56,44.33317014,-72.75329703,"VT"
"OKE-THOMAS+ASSOCIATES, INC.",202,38.69139031,-90.26707195,"MO"
"MASSACHUSETTS INSTITUTE OF TECHNOLOGY",200.27,42.35897273,-71.09348345,"MA"
"EMERALD FOREST PRODUCTS, INC.",200,43.87521421,-116.50566894,"ID"
"UNIVERSITY OF MASSACHUSETTS",199.93,41.63430943,-71.00598081,"MA"
"LOCKHEED MARTIN CORPORATION",199.93,39.49320784,-105.09360968,"CO"
"CRIMINAL JUSTICE COORDINATING COUNCIL, GEORGIA",198.43,33.75627073,-84.39256555,"GA"
"WATER INFRASTRUCTURE FINANCE AUTHORITY OF ARIZONA",197,33.448218,-112.08712599,"AZ"
"STATE OF LOUISIANA",196.57,30.46525573,-91.11467396,"LA"
"MAINE STATE HOUSING AUTHORITY",196.36,44.31288381,-69.77516909,"ME"
"LABOR AND WORKFORCE DEVELOPMENT, TENNESSEE DEPARTMENT OF",194.04,36.16154699,-86.783886,"TN"
"CHICAGO HOUSING AUTHORITY",193.21,41.65580271,-87.59556314,"IL"
"MASSACHUSETTS GENERAL HOSPITAL, THE",192.68,42.36252102,-71.0697528,"MA"
"CALIFORNIA STATE UNIVERSITY, STANISLAUS",191,37.529186,-120.859243,"CA"
"TRANSPORTATION, NEW YORK DEPARTMENT OF",189.69,41.189394,-74.036598,"NY"
"STAR-IVA WATER & SEWER DISTRICT",189,34.35977638,-82.68687362,"SC"
"ILLINOIS DEPARTMENT OF TRANSPORTATION",188.23,41.883487,-87.632396,"IL"
