"","id","lnw","exper","ged","postexp","black","hispanic","hgc","hgc.9","uerate","ue.7","ue.centert1","ue.mean","ue.person.cen","ue1"
"134","134  ",2.666,6.75,"1  ",2.835,"0  ","0  ","11  ",2,5.095,-1.905,-0.7,5.721,-0.626,5.795
"134","134  ",2.806,8.25,"1  ",4.335,"0  ","0  ","11  ",2,2.795,-4.205,-3,5.721,-2.926,5.795
"134","134  ",2.927,9.019,"1  ",5.105,"0  ","0  ","11  ",2,3.195,-3.805,-2.6,5.721,-2.526,5.795
"134","134  ",2.931,10.038,"1  ",6.124,"0  ","0  ","11  ",2,5.195,-1.805,-0.6,5.721,-0.526,5.795
"134","134  ",2.764,10.818,"1  ",6.904,"0  ","0  ","11  ",2,6.195,-0.805,0.4,5.721,0.474,5.795
"145","145  ",1.562,0.235,"0  ",0,"0  ","0  ","10  ",1,8.4,1.4,0,5.196,3.204,8.4
"145","145  ",1.476,0.828,"1  ",0.473,"0  ","0  ","10  ",1,6.395,-0.605,-2.005,5.196,1.199,8.4
"145","145  ",1.596,1.828,"1  ",1.473,"0  ","0  ","10  ",1,5.895,-1.105,-2.505,5.196,0.699,8.4
"145","145  ",1.885,2.488,"1  ",2.133,"0  ","0  ","10  ",1,5.095,-1.905,-3.305,5.196,-0.101,8.4
"145","145  ",2.036,3.699,"1  ",3.344,"0  ","0  ","10  ",1,3.595,-3.405,-4.805,5.196,-1.601,8.4
"145","145  ",1.771,4.776,"1  ",4.421,"0  ","0  ","10  ",1,2.795,-4.205,-5.605,5.196,-2.401,8.4
"145","145  ",1.878,5.641,"1  ",5.286,"0  ","0  ","10  ",1,3.195,-3.805,-5.205,5.196,-2.001,8.4
"145","145  ",1.753,6.68,"1  ",6.325,"0  ","0  ","10  ",1,5.195,-1.805,-3.205,5.196,-0.001,8.4
"145","145  ",1.906,7.1,"1  ",6.745,"0  ","0  ","10  ",1,6.195,-0.805,-2.205,5.196,0.999,8.4
"155","155  ",1.776,0.985,"0  ",0,"0  ","0  ","9  ",0,6.695,-0.305,0,6.874,-0.179,6.695
"155","155  ",2.078,2.023,"0  ",0,"0  ","0  ","9  ",0,6.695,-0.305,0,6.874,-0.179,6.695
"155","155  ",1.535,2.966,"0  ",0,"0  ","0  ","9  ",0,12.6,5.6,5.905,6.874,5.726,6.695
"155","155  ",2.162,3.834,"0  ",0,"0  ","0  ","9  ",0,4.895,-2.105,-1.8,6.874,-1.979,6.695
"155","155  ",2.32,4.563,"0  ",0,"0  ","0  ","9  ",0,13.6,6.6,6.905,6.874,6.726,6.695
"155","155  ",1.727,5.717,"0  ",0,"0  ","0  ","9  ",0,6.874,-0.126,0.179,6.874,0,6.695
"155","155  ",2.219,7.14,"0  ",0,"0  ","0  ","9  ",0,6.874,-0.126,0.179,6.874,0,6.695
"155","155  ",2.461,7.967,"0  ",0,"0  ","0  ","9  ",0,2.795,-4.205,-3.9,6.874,-4.079,6.695
"155","155  ",2.333,8.937,"0  ",0,"0  ","0  ","9  ",0,3.195,-3.805,-3.5,6.874,-3.679,6.695
"155","155  ",2.612,9.707,"0  ",0,"0  ","0  ","9  ",0,5.195,-1.805,NA,6.874,-1.679,6.695
"155","155  ",2.637,10.437,"0  ",0,"0  ","0  ","9  ",0,6.195,-0.805,-0.5,6.874,-0.679,6.695
"173","173  ",1.559,0.188,"0  ",0,"0  ","0  ","9  ",0,5.495,-1.505,0,6.08,-0.585,5.495
"173","173  ",1.693,0.8,"0  ",0,"0  ","0  ","9  ",0,7.9,0.9,2.405,6.08,1.82,5.495
"173","173  ",1.976,2.184,"0  ",0,"0  ","0  ","9  ",0,8.2,1.2,2.705,6.08,2.12,5.495
"173","173  ",2.027,4.454,"0  ",0,"0  ","0  ","9  ",0,4.195,NA,NA,6.08,-1.885,5.495
"173","173  ",2.016,5.377,"0  ",0,"0  ","0  ","9  ",0,4.495,-2.505,-1,6.08,-1.585,5.495
"173","173  ",2.335,6.396,"0  ",0,"0  ","0  ","9  ",0,6.195,-0.805,0.7,6.08,0.115,5.495
"206","206  ",2.028,1.874,"0  ",0,"0  ","0  ","10  ",1,9.2,2.2,0,8.832,0.368,9.2
"206","206  ",2.297,2.814,"0  ",0,"0  ","0  ","10  ",1,11,4,1.8,8.832,2.168,9.2
"206","206  ",2.482,4.314,"0  ",0,"0  ","0  ","10  ",1,6.295,NA,NA,8.832,-2.537,9.2
"207","207  ",1.58,0.525,"0  ",0,"0  ","0  ","8  ",-1,9.6,2.6,0,7.416,2.184,9.6
"207","207  ",1.749,1.679,"0  ",0,"0  ","0  ","8  ",-1,9.2,2.2,-0.4,7.416,1.784,9.6
"207","207  ",1.931,2.698,"0  ",0,"0  ","0  ","8  ",-1,11,4,1.4,7.416,3.584,9.6
"207","207  ",1.863,3.46,"0  ",0,"0  ","0  ","8  ",-1,8.4,1.4,-1.2,7.416,0.984,9.6
"207","207  ",2.224,4.498,"0  ",0,"0  ","0  ","8  ",-1,8.2,NA,-1.4,7.416,0.784,9.6
"207","207  ",2.052,5.46,"0  ",0,"0  ","0  ","8  ",-1,7.3,0.3,-2.3,7.416,-0.116,9.6
"207","207  ",2.155,6.69,"0  ",0,"0  ","0  ","8  ",-1,5.395,-1.605,-4.205,7.416,-2.021,9.6
"207","207  ",2.177,7.729,"0  ",0,"0  ","0  ","8  ",-1,4.195,-2.805,-5.405,7.416,-3.221,9.6
"207","207  ",2.576,8.609,"0  ",0,"0  ","0  ","8  ",-1,4.495,-2.505,-5.105,7.416,-2.921,9.6
"207","207  ",2.659,9.441,"0  ",0,"0  ","0  ","8  ",-1,6.195,-0.805,NA,7.416,-1.221,9.6
"207","207  ",2.263,10.307,"0  ",0,"0  ","0  ","8  ",-1,7.6,0.6,-2,7.416,0.184,9.6
"222","222  ",3.456,0.013,"0  ",0,"1  ","0  ","9  ",0,8,1,0,6.283,1.717,8
"222","222  ",1.314,0.529,"0  ",0,"1  ","0  ","9  ",0,8.4,1.4,0.4,6.283,2.117,8
"222","222  ",1.515,0.804,"0  ",0,"1  ","0  ","9  ",0,7.3,0.3,-0.7,6.283,1.017,8
"222","222  ",1.635,1.161,"0  ",0,"1  ","0  ","9  ",0,5.395,NA,-2.605,6.283,-0.888,8
"222","222  ",1.707,1.973,"0  ",0,"1  ","0  ","9  ",0,4.195,-2.805,-3.805,6.283,-2.088,8
"222","222  ",1.555,2.24,"0  ",0,"1  ","0  ","9  ",0,4.495,-2.505,-3.505,6.283,-1.788,8
"222","222  ",1.792,2.768,"0  ",0,"1  ","0  ","9  ",0,6.195,-0.805,-1.805,6.283,-0.088,8
"223","223  ",1.749,0.864,"0  ",0,"1  ","0  ","8  ",-1,9.2,2.2,0,6.18,3.02,9.2
"223","223  ",1.563,1.806,"0  ",0,"1  ","0  ","8  ",-1,6.18,-0.82,-3.02,6.18,0,9.2
"223","223  ",1.51,2.883,"0  ",0,"1  ","0  ","8  ",-1,6.18,-0.82,-3.02,6.18,0,9.2
"223","223  ",1.765,4.076,"0  ",0,"1  ","0  ","8  ",-1,6.18,-0.82,-3.02,6.18,0,9.2
"223","223  ",1.627,4.968,"0  ",0,"1  ","0  ","8  ",-1,6.18,-0.82,-3.02,6.18,0,9.2
"223","223  ",2.534,5.896,"0  ",0,"1  ","0  ","8  ",-1,5.395,-1.605,-3.805,6.18,-0.785,9.2
"223","223  ",1.83,7.146,"0  ",0,"1  ","0  ","8  ",-1,4.195,-2.805,-5.005,6.18,-1.985,9.2
"223","223  ",2.13,8.031,"0  ",0,"1  ","0  ","8  ",-1,4.495,-2.505,-4.705,6.18,-1.685,9.2
"223","223  ",2.14,9.031,"0  ",0,"1  ","0  ","8  ",-1,6.195,-0.805,-3.005,6.18,0.015,9.2
"223","223  ",2.185,9.877,"0  ",0,"1  ","0  ","8  ",-1,7.6,0.6,-1.6,6.18,1.42,9.2
"226","226  ",1.54,0.625,"0  ",0,"0  ","1  ","8  ",-1,9.6,2.6,0,6.197,3.403,9.6
"226","226  ",0.927,0.755,"1  ",0.09,"0  ","1  ","8  ",-1,7.3,0.3,-2.3,6.197,1.103,9.6
"226","226  ",2.008,1.858,"1  ",1.193,"0  ","1  ","8  ",-1,5.395,-1.605,-4.205,6.197,-0.802,9.6
"226","226  ",1.89,2.978,"1  ",2.313,"0  ","1  ","8  ",-1,4.195,-2.805,-5.405,6.197,-2.002,9.6
"226","226  ",1.997,3.418,"1  ",2.753,"0  ","1  ","8  ",-1,4.495,-2.505,-5.105,6.197,-1.702,9.6
"234","234  ",1.571,1.096,"1  ",1.096,"0  ","0  ","9  ",0,9.6,2.6,0,8.026,1.574,9.6
"234","234  ",1.535,2.346,"1  ",2.346,"0  ","0  ","9  ",0,13.6,6.6,4,8.026,5.574,9.6
"234","234  ",1.675,3.358,"1  ",3.358,"0  ","0  ","9  ",0,8.8,1.8,-0.8,8.026,0.774,9.6
"234","234  ",1.873,4.416,"1  ",4.416,"0  ","0  ","9  ",0,6.395,-0.605,-3.205,8.026,-1.631,9.6
"234","234  ",1.707,5.916,"1  ",5.916,"0  ","0  ","9  ",0,5.495,-1.505,-4.105,8.026,-2.531,9.6
"234","234  ",1.558,7.416,"1  ",7.416,"0  ","0  ","9  ",0,4.995,-2.005,-4.605,8.026,-3.031,9.6
"234","234  ",2.005,8.358,"1  ",8.358,"0  ","0  ","9  ",0,7.3,0.3,-2.3,8.026,-0.726,9.6
"241","241  ",1.517,0.364,"1  ",0,"0  ","0  ","7  ",-2,12.1,5.1,0,8.624,3.476,12.1
"241","241  ",1.381,1.46,"1  ",1.096,"0  ","0  ","7  ",-2,13.6,6.6,1.5,8.624,4.976,12.1
"241","241  ",1.856,2.402,"1  ",2.038,"0  ","0  ","7  ",-2,10,3,-2.1,8.624,1.376,12.1
"241","241  ",2.001,3.422,"1  ",3.058,"0  ","0  ","7  ",-2,8.1,1.1,-4,8.624,-0.524,12.1
"241","241  ",2.665,4.441,"1  ",4.077,"0  ","0  ","7  ",-2,4.595,-2.405,-7.505,8.624,-4.029,12.1
"241","241  ",2.2,5.537,"1  ",5.173,"0  ","0  ","7  ",-2,7.5,0.5,-4.6,8.624,-1.124,12.1
"241","241  ",1.707,7.018,"1  ",6.654,"0  ","0  ","7  ",-2,6.195,-0.805,-5.905,8.624,-2.429,12.1
"241","241  ",2.066,7.749,"1  ",7.385,"0  ","0  ","7  ",-2,6.9,-0.1,-5.2,8.624,-1.724,12.1
"248","248  ",1.964,0.505,"0  ",0,"0  ","0  ","8  ",-1,8.8,1.8,NA,7.918,0.882,8.8
"248","248  ",1.47,0.755,"1  ",0.21,"0  ","0  ","8  ",-1,13.6,6.6,4.8,7.918,5.682,8.8
"248","248  ",1.449,1.15,"1  ",0.605,"0  ","0  ","8  ",-1,10,3,1.2,7.918,2.082,8.8
"248","248  ",2.224,1.4,"1  ",0.855,"0  ","0  ","8  ",-1,8.1,1.1,-0.7,7.918,0.182,8.8
"248","248  ",2.259,2.477,"1  ",1.932,"0  ","0  ","8  ",-1,8.8,1.8,0,7.918,0.882,8.8
"248","248  ",2.124,3.938,"1  ",3.393,"0  ","0  ","8  ",-1,6.395,NA,NA,7.918,-1.523,8.8
"248","248  ",1.484,5.054,"1  ",4.509,"0  ","0  ","8  ",-1,5.495,-1.505,-3.305,7.918,-2.423,8.8
"248","248  ",1.364,5.845,"1  ",5.3,"0  ","0  ","8  ",-1,5.695,-1.305,-3.105,7.918,-2.223,8.8
"248","248  ",2.015,6.54,"1  ",5.995,"0  ","0  ","8  ",-1,4.995,-2.005,-3.805,7.918,-2.923,8.8
"248","248  ",1.752,7.617,"1  ",7.072,"0  ","0  ","8  ",-1,7.3,0.3,-1.5,7.918,-0.618,8.8
"253","253  ",1.526,0.123,"0  ",0,"0  ","0  ","8  ",-1,6.395,NA,NA,5.976,0.419,6.395
"253","253  ",2.153,0.587,"0  ",0,"0  ","0  ","8  ",-1,5.495,-1.505,-0.9,5.976,-0.481,6.395
"253","253  ",1.997,1.182,"0  ",0,"0  ","0  ","8  ",-1,5.695,-1.305,-0.7,5.976,-0.281,6.395
"253","253  ",1.946,1.829,"0  ",0,"0  ","0  ","8  ",-1,4.995,-2.005,-1.4,5.976,-0.981,6.395
"253","253  ",1.906,2.387,"0  ",0,"0  ","0  ","8  ",-1,7.3,0.3,0.905,5.976,1.324,6.395
"266","266  ",1.808,0.322,"1  ",0.182,"0  ","0  ","9  ",0,8.8,NA,0,8.8,0,8.8
"295","295  ",1.789,2.026,"0  ",0,"0  ","0  ","9  ",0,5.595,-1.405,0,4.915,0.68,5.595
"295","295  ",1.807,3.122,"0  ",0,"0  ","0  ","9  ",0,4.595,-2.405,-1,4.915,-0.32,5.595
"295","295  ",2.113,4.157,"0  ",0,"0  ","0  ","9  ",0,4.295,-2.705,-1.3,4.915,-0.62,5.595
"295","295  ",2.13,5.08,"0  ",0,"0  ","0  ","9  ",0,3.395,-3.605,-2.2,4.915,-1.52,5.595
"295","295  ",2.312,6.58,"0  ",0,"0  ","0  ","9  ",0,6.695,-0.305,NA,4.915,1.78,5.595
"299","299  ",1.638,0.58,"0  ",0,"0  ","1  ","7  ",-2,9.6,2.6,0,5.774,3.826,9.6
"299","299  ",1.62,0.9,"0  ",0,"0  ","1  ","7  ",-2,7.2,0.2,-2.4,5.774,1.426,9.6
"299","299  ",1.656,1.958,"0  ",0,"0  ","1  ","7  ",-2,6.195,-0.805,-3.405,5.774,0.421,9.6
"299","299  ",1.738,2.996,"0  ",0,"0  ","1  ","7  ",-2,5.595,-1.405,-4.005,5.774,-0.179,9.6
"299","299  ",1.749,4.216,"0  ",0,"0  ","1  ","7  ",-2,4.595,NA,-5.005,5.774,-1.179,9.6
"299","299  ",1.545,4.336,"0  ",0,"0  ","1  ","7  ",-2,4.295,-2.705,-5.305,5.774,-1.479,9.6
"299","299  ",1.555,4.376,"0  ",0,"0  ","1  ","7  ",-2,3.395,-3.605,-6.205,5.774,-2.379,9.6
"299","299  ",1.792,4.716,"0  ",0,"0  ","1  ","7  ",-2,4.395,-2.605,-5.205,5.774,-1.379,9.6
"299","299  ",1.57,5.716,"0  ",0,"0  ","1  ","7  ",-2,6.695,-0.305,-2.905,5.774,0.921,9.6
"304","304  ",1.842,0.58,"0  ",0,"0  ","1  ","8  ",-1,3.395,-3.605,0,3.395,0,3.395
"313","313  ",1.576,0.32,"0  ",0,"0  ","0  ","9  ",0,9,2,0,6.096,2.904,9
"313","313  ",1.535,0.565,"0  ",0,"0  ","0  ","9  ",0,9.6,2.6,0.6,6.096,3.503,9
"313","313  ",1.568,1.065,"0  ",0,"0  ","0  ","9  ",0,7.2,0.2,-1.8,6.096,1.104,9
"313","313  ",1.819,2.065,"0  ",0,"0  ","0  ","9  ",0,6.195,-0.805,-2.805,6.096,0.098,9
"313","313  ",1.929,3.219,"0  ",0,"0  ","0  ","9  ",0,5.595,-1.405,-3.405,6.096,-0.502,9
"313","313  ",2.036,4.238,"0  ",0,"0  ","0  ","9  ",0,4.595,-2.405,-4.405,6.096,-1.502,9
"313","313  ",2.295,5.68,"0  ",0,"0  ","0  ","9  ",0,4.295,-2.705,-4.705,6.096,-1.801,9
"313","313  ",2.248,6.623,"0  ",0,"0  ","0  ","9  ",0,3.395,-3.605,-5.605,6.096,-2.701,9
"313","313  ",2.526,7.603,"0  ",0,"0  ","0  ","9  ",0,4.395,-2.605,-4.605,6.096,-1.702,9
"313","313  ",2.384,8.507,"0  ",0,"0  ","0  ","9  ",0,6.695,-0.305,-2.305,6.096,0.599,9
"315","315  ",1.556,0.998,"0  ",0,"0  ","0  ","10  ",1,7.1,0.1,0,6.222,0.878,7.1
"315","315  ",1.913,2.132,"0  ",0,"0  ","0  ","10  ",1,9,2,1.9,6.222,2.778,7.1
"315","315  ",1.052,2.882,"0  ",0,"0  ","0  ","10  ",1,9.6,2.6,2.5,6.222,3.378,7.1
"315","315  ",1.596,3.786,"0  ",0,"0  ","0  ","10  ",1,6.195,-0.805,-0.905,6.222,-0.027,7.1
"315","315  ",1.433,4.241,"0  ",0,"0  ","0  ","10  ",1,5.595,-1.405,-1.505,6.222,-0.627,7.1
"315","315  ",1.644,4.941,"0  ",0,"0  ","0  ","10  ",1,4.595,-2.405,-2.505,6.222,-1.627,7.1
"315","315  ",1.351,5.218,"0  ",0,"0  ","0  ","10  ",1,4.295,-2.705,-2.805,6.222,-1.927,7.1
"315","315  ",1.66,5.298,"1  ",0,"0  ","0  ","10  ",1,3.395,-3.605,-3.705,6.222,-2.827,7.1
"316","316  ",1.786,0.54,"1  ",0.54,"0  ","0  ","8  ",-1,9.6,2.6,0,5.774,3.826,9.6
"316","316  ",2.014,1.502,"1  ",1.502,"0  ","0  ","8  ",-1,7.2,0.2,-2.4,5.774,1.426,9.6
"316","316  ",1.462,1.786,"1  ",1.786,"0  ","0  ","8  ",-1,6.195,-0.805,-3.405,5.774,0.421,9.6
"316","316  ",1.483,2.328,"1  ",2.328,"0  ","0  ","8  ",-1,5.595,-1.405,-4.005,5.774,-0.179,9.6
"316","316  ",1.749,3.138,"1  ",3.138,"0  ","0  ","8  ",-1,4.595,-2.405,-5.005,5.774,-1.179,9.6
"316","316  ",2.256,4.523,"1  ",4.523,"0  ","0  ","8  ",-1,4.295,-2.705,-5.305,5.774,-1.479,9.6
"316","316  ",2.275,5.427,"1  ",5.427,"0  ","0  ","8  ",-1,3.395,-3.605,-6.205,5.774,-2.379,9.6
"316","316  ",2.158,6.446,"1  ",6.446,"0  ","0  ","8  ",-1,4.395,-2.605,-5.205,5.774,-1.379,9.6
"316","316  ",2.263,7.407,"1  ",7.407,"0  ","0  ","8  ",-1,6.695,-0.305,-2.905,5.774,0.921,9.6
"324","324  ",1.491,1.491,"0  ",0,"0  ","0  ","9  ",0,9.6,2.6,0,5.616,3.984,9.6
"324","324  ",2.224,1.803,"0  ",0,"0  ","0  ","9  ",0,6.195,-0.805,NA,5.616,0.579,9.6
"324","324  ",2.036,2.32,"0  ",0,"0  ","0  ","9  ",0,4.595,-2.405,-5.005,5.616,-1.021,9.6
"324","324  ",2.496,2.765,"0  ",0,"0  ","0  ","9  ",0,4.295,-2.705,-5.305,5.616,-1.321,9.6
"324","324  ",2.536,3.945,"0  ",0,"0  ","0  ","9  ",0,3.395,-3.605,-6.205,5.616,-2.221,9.6
"329","329  ",1.422,0.016,"0  ",0,"0  ","1  ","8  ",-1,9,2,0,6.93,2.07,9
"329","329  ",1.308,0.716,"0  ",0,"0  ","1  ","8  ",-1,6.195,NA,NA,6.93,-0.735,9
"329","329  ",1.885,1.756,"0  ",0,"0  ","1  ","8  ",-1,5.595,-1.405,-3.405,6.93,-1.335,9
"331","331  ",1.559,0.105,"0  ",0,"0  ","1  ","9  ",0,6.795,-0.205,0,7.297,-0.502,6.795
"331","331  ",0.83,1.095,"0  ",0,"0  ","1  ","9  ",0,9,2,2.205,7.297,1.703,6.795
"331","331  ",1.804,1.725,"0  ",0,"0  ","1  ","9  ",0,9.6,2.6,2.805,7.297,2.303,6.795
"331","331  ",1.872,4.436,"0  ",0,"0  ","1  ","9  ",0,4.395,NA,NA,7.297,-2.902,6.795
"331","331  ",1.499,4.461,"0  ",0,"0  ","1  ","9  ",0,6.695,-0.305,-0.1,7.297,-0.602,6.795
"332","332  ",1.63,0.125,"0  ",0,"0  ","1  ","8  ",-1,7.1,0.1,0,5.906,1.194,7.1
"332","332  ",1.476,1.625,"0  ",0,"0  ","1  ","8  ",-1,9.6,2.6,2.5,5.906,3.694,7.1
"332","332  ",1.804,2.413,"0  ",0,"0  ","1  ","8  ",-1,7.2,0.2,0.1,5.906,1.293,7.1
"332","332  ",1.439,3.393,"0  ",0,"0  ","1  ","8  ",-1,6.195,NA,-0.905,5.906,0.289,7.1
"332","332  ",1.748,4.47,"0  ",0,"0  ","1  ","8  ",-1,5.595,-1.405,-1.505,5.906,-0.312,7.1
"332","332  ",1.526,5.178,"0  ",0,"0  ","1  ","8  ",-1,4.595,-2.405,-2.505,5.906,-1.311,7.1
"332","332  ",2.044,6.082,"0  ",0,"0  ","1  ","8  ",-1,4.295,-2.705,-2.805,5.906,-1.612,7.1
"332","332  ",2.179,7.043,"0  ",0,"0  ","1  ","8  ",-1,3.395,-3.605,-3.705,5.906,-2.511,7.1
"332","332  ",2.186,8.197,"0  ",0,"0  ","1  ","8  ",-1,4.395,-2.605,NA,5.906,-1.512,7.1
"332","332  ",4.035,9.092,"0  ",0,"0  ","1  ","8  ",-1,6.695,-0.305,-0.405,5.906,0.789,7.1
"336","336  ",1.892,1.91,"1  ",0.46,"1  ","0  ","8  ",-1,9.6,2.6,0,7.665,1.935,9.6
"336","336  ",1.279,2.514,"1  ",1.064,"1  ","0  ","8  ",-1,7.2,0.2,-2.4,7.665,-0.465,9.6
"336","336  ",2.224,3.706,"1  ",2.256,"1  ","0  ","8  ",-1,6.195,-0.805,-3.405,7.665,-1.47,9.6
"356","356  ",1.553,0.966,"0  ",0,"0  ","0  ","10  ",1,8.8,NA,0,6.016,2.783,8.8
"356","356  ",1.491,1.896,"0  ",0,"0  ","0  ","10  ",1,8.5,1.5,-0.3,6.016,2.484,8.8
"356","356  ",2.261,2.461,"0  ",0,"0  ","0  ","10  ",1,7.3,0.3,-1.5,6.016,1.283,8.8
"356","356  ",1.558,3.399,"0  ",0,"0  ","0  ","10  ",1,6.595,-0.405,-2.205,6.016,0.578,8.8
"356","356  ",1.789,4.418,"0  ",0,"0  ","0  ","10  ",1,5.095,-1.905,-3.705,6.016,-0.922,8.8
"356","356  ",2.219,5.571,"0  ",0,"0  ","0  ","10  ",1,4.395,-2.605,-4.405,6.016,-1.622,8.8
"356","356  ",2.444,6.802,"0  ",0,"0  ","0  ","10  ",1,4.395,-2.605,-4.405,6.016,-1.622,8.8
"356","356  ",2.692,7.744,"0  ",0,"0  ","0  ","10  ",1,3.295,-3.705,-5.505,6.016,-2.721,8.8
"356","356  ",2.734,8.705,"0  ",0,"0  ","0  ","10  ",1,5.295,-1.705,-3.505,6.016,-0.721,8.8
"356","356  ",2.742,9.705,"0  ",0,"0  ","0  ","10  ",1,6.495,-0.505,-2.305,6.016,0.479,8.8
